OBJECTID	src_FID	nbr_FID	LENGTH	NODE_COUNT
1	0	1	100	0
2	0	10	100	0
4	1	0	100	0
5	1	2	100	0
7	1	11	100	0
9	2	1	100	0
10	2	3	100	0
12	2	12	100	0
14	3	2	100	0
15	3	4	100	0
17	3	13	100	0
19	4	3	100	0
20	4	5	100	0
22	4	14	100	0
24	5	4	100	0
25	5	6	100	0
27	5	15	100	0
29	6	5	100	0
30	6	7	100	0
32	6	16	100	0
34	7	6	100	0
35	7	8	100	0
37	7	17	100	0
39	8	7	100	0
40	8	9	100	0
42	8	18	100	0
44	9	8	100	0
46	9	19	100	0
47	10	0	100	0
49	10	11	100	0
50	10	20	100	0
53	11	1	100	0
55	11	10	100	0
56	11	12	100	0
58	11	21	100	0
61	12	2	100	0
63	12	11	100	0
64	12	13	100	0
66	12	22	100	0
69	13	3	100	0
71	13	12	100	0
72	13	14	100	0
74	13	23	100	0
77	14	4	100	0
79	14	13	100	0
80	14	15	100	0
82	14	24	100	0
85	15	5	100	0
87	15	14	100	0
88	15	16	100	0
90	15	25	100	0
93	16	6	100	0
95	16	15	100	0
96	16	17	100	0
98	16	26	100	0
101	17	7	100	0
103	17	16	100	0
104	17	18	100	0
106	17	27	100	0
109	18	8	100	0
111	18	17	100	0
112	18	19	100	0
114	18	28	100	0
117	19	9	100	0
118	19	18	100	0
120	19	29	100	0
121	20	10	100	0
123	20	21	100	0
124	20	30	100	0
127	21	11	100	0
129	21	20	100	0
130	21	22	100	0
132	21	31	100	0
135	22	12	100	0
137	22	21	100	0
138	22	23	100	0
140	22	32	100	0
143	23	13	100	0
145	23	22	100	0
146	23	24	100	0
148	23	33	100	0
151	24	14	100	0
153	24	23	100	0
154	24	25	100	0
156	24	34	100	0
159	25	15	100	0
161	25	24	100	0
162	25	26	100	0
164	25	35	100	0
167	26	16	100	0
169	26	25	100	0
170	26	27	100	0
172	26	36	100	0
175	27	17	100	0
177	27	26	100	0
178	27	28	100	0
180	27	37	100	0
183	28	18	100	0
185	28	27	100	0
186	28	29	100	0
188	28	38	100	0
191	29	19	100	0
192	29	28	100	0
194	29	39	100	0
195	30	20	100	0
197	30	31	100	0
198	30	40	100	0
201	31	21	100	0
203	31	30	100	0
204	31	32	100	0
206	31	41	100	0
209	32	22	100	0
211	32	31	100	0
212	32	33	100	0
214	32	42	100	0
217	33	23	100	0
219	33	32	100	0
220	33	34	100	0
222	33	43	100	0
225	34	24	100	0
227	34	33	100	0
228	34	35	100	0
230	34	44	100	0
233	35	25	100	0
235	35	34	100	0
236	35	36	100	0
238	35	45	100	0
241	36	26	100	0
243	36	35	100	0
244	36	37	100	0
246	36	46	100	0
249	37	27	100	0
251	37	36	100	0
252	37	38	100	0
254	37	47	100	0
257	38	28	100	0
259	38	37	100	0
260	38	39	100	0
262	38	48	100	0
265	39	29	100	0
266	39	38	100	0
268	39	49	100	0
269	40	30	100	0
271	40	41	100	0
272	40	50	100	0
275	41	31	100	0
277	41	40	100	0
278	41	42	100	0
280	41	51	100	0
283	42	32	100	0
285	42	41	100	0
286	42	43	100	0
288	42	52	100	0
291	43	33	100	0
293	43	42	100	0
294	43	44	100	0
296	43	53	100	0
299	44	34	100	0
301	44	43	100	0
302	44	45	100	0
304	44	54	100	0
307	45	35	100	0
309	45	44	100	0
310	45	46	100	0
312	45	55	100	0
315	46	36	100	0
317	46	45	100	0
318	46	47	100	0
320	46	56	100	0
323	47	37	100	0
325	47	46	100	0
326	47	48	100	0
328	47	57	100	0
331	48	38	100	0
333	48	47	100	0
334	48	49	100	0
336	48	58	100	0
339	49	39	100	0
340	49	48	100	0
342	49	59	100	0
343	50	40	100	0
345	50	51	100	0
346	50	60	100	0
349	51	41	100	0
351	51	50	100	0
352	51	52	100	0
354	51	61	100	0
357	52	42	100	0
359	52	51	100	0
360	52	53	100	0
362	52	62	100	0
365	53	43	100	0
367	53	52	100	0
368	53	54	100	0
370	53	63	100	0
373	54	44	100	0
375	54	53	100	0
376	54	55	100	0
378	54	64	100	0
381	55	45	100	0
383	55	54	100	0
384	55	56	100	0
386	55	65	100	0
389	56	46	100	0
391	56	55	100	0
392	56	57	100	0
394	56	66	100	0
397	57	47	100	0
399	57	56	100	0
400	57	58	100	0
402	57	67	100	0
405	58	48	100	0
407	58	57	100	0
408	58	59	100	0
410	58	68	100	0
413	59	49	100	0
414	59	58	100	0
416	59	69	100	0
417	60	50	100	0
419	60	61	100	0
420	60	70	100	0
423	61	51	100	0
425	61	60	100	0
426	61	62	100	0
428	61	71	100	0
431	62	52	100	0
433	62	61	100	0
434	62	63	100	0
436	62	72	100	0
439	63	53	100	0
441	63	62	100	0
442	63	64	100	0
444	63	73	100	0
447	64	54	100	0
449	64	63	100	0
450	64	65	100	0
452	64	74	100	0
455	65	55	100	0
457	65	64	100	0
458	65	66	100	0
460	65	75	100	0
463	66	56	100	0
465	66	65	100	0
466	66	67	100	0
468	66	76	100	0
471	67	57	100	0
473	67	66	100	0
474	67	68	100	0
476	67	77	100	0
479	68	58	100	0
481	68	67	100	0
482	68	69	100	0
484	68	78	100	0
487	69	59	100	0
488	69	68	100	0
490	69	79	100	0
491	70	60	100	0
493	70	71	100	0
494	70	80	100	0
497	71	61	100	0
499	71	70	100	0
500	71	72	100	0
502	71	81	100	0
505	72	62	100	0
507	72	71	100	0
508	72	73	100	0
510	72	82	100	0
513	73	63	100	0
515	73	72	100	0
516	73	74	100	0
518	73	83	100	0
521	74	64	100	0
523	74	73	100	0
524	74	75	100	0
526	74	84	100	0
529	75	65	100	0
531	75	74	100	0
532	75	76	100	0
534	75	85	100	0
537	76	66	100	0
539	76	75	100	0
540	76	77	100	0
542	76	86	100	0
545	77	67	100	0
547	77	76	100	0
548	77	78	100	0
550	77	87	100	0
553	78	68	100	0
555	78	77	100	0
556	78	79	100	0
558	78	88	100	0
561	79	69	100	0
562	79	78	100	0
564	79	89	100	0
565	80	70	100	0
567	80	81	100	0
568	80	90	100	0
571	81	71	100	0
573	81	80	100	0
574	81	82	100	0
576	81	91	100	0
579	82	72	100	0
581	82	81	100	0
582	82	83	100	0
584	82	92	100	0
587	83	73	100	0
589	83	82	100	0
590	83	84	100	0
592	83	93	100	0
595	84	74	100	0
597	84	83	100	0
598	84	85	100	0
600	84	94	100	0
603	85	75	100	0
605	85	84	100	0
606	85	86	100	0
608	85	95	100	0
611	86	76	100	0
613	86	85	100	0
614	86	87	100	0
616	86	96	100	0
619	87	77	100	0
621	87	86	100	0
622	87	88	100	0
624	87	97	100	0
627	88	78	100	0
629	88	87	100	0
630	88	89	100	0
632	88	98	100	0
635	89	79	100	0
636	89	88	100	0
638	89	99	100	0
639	90	80	100	0
641	90	91	100	0
642	90	100	100	0
645	91	81	100	0
647	91	90	100	0
648	91	92	100	0
650	91	101	100	0
